the_geom,OBJECTID,NAME,LOC_ID,ELEV,FUNC_LEVEL,ASSOCCITY,FIPSCITY,COUNTY,FIPSCOUNTY,REGION,TPRID,ISNHS,NEARCITY,NEARHWY,AIRPORTTYP,AIRCRAFTOP,AIRPORTHOU,ANNUALOPS_,ANNUALPASS,RUNWAYS,RUNWAYLENG,RUNWAYSURF,LIGHTING,NAVIGATION,NEARRECREA,COMMENTS,X_COORD,Y_COORD,LAT,LONG_
POINT (-106.93116000028108 37.82083000284606),46,Mineral County Memorial Airport,C24,8680,Intermediate,Creede,17980,Mineral,079,5,8,N,Creede,SH149,GA,38/week,Unattended,2000,23,1,7/25 6880x60,Asphalt,None,"CTAF, FSS","MiningMuseum,WheelerGeological,WolfCrkSki,SanJuanNatlFor,camp,hunt,fish","Glider,Hangglider,Elk/DeerOnAirport,Mountainous",330029.57002,4187692.87168,37.82083,-106.93116
POINT (-107.52165000214438 40.495219995826695),47,Craig-Moffat County Airport,CAG,6193,Intermediate,Craig,17760,Moffat,081,3,12,Y,Craig,US40/SH394,GA,48/week,"Attended ALL Mon-Fri 0800-1700, ALL, Sat-Sun Irreg",2525,7,1,7/25 5600x100,Asphalt,MIRL,"CTAF, UNI, RCO, VOR/DME/GPS/VOR","GolfCourse,SteamboatSpgsAirport,fish,hunt",RY 25 has +75 ft. trees 4000 from threshold,286304.76519,4485778.94246,40.49522,-107.52165
POINT (-108.62806000394575 37.302999998337846),48,Cortez/Montezuma County Airport,CEZ,5918,Major,Cortez,17375,Montezuma,083,5,10,Y,Cortez,US160/US666,CS,37/day,Attended ALL ALL DAWN-DUSK,16578,7698,1,3/21 7205x100,Asphalt,MIRL,"CTAF, UNI, ASOS, RCO, VOR/GPS","MesaVerdeNatlPk,AnasaziHeritageCntr,UteMntCasino,McPheeLake,PurgatorySki","MigratoryBirdsOnAirport, after hour call 970-565-8228",178417.39635,4134661.05217,37.303,-108.62806
POINT (-107.89382999573168 38.50887000016009),49,Montrose Regional Airport,MTJ,5759,Major,Montrose,51745,Montrose,085,3,9,Y,Montrose,US50,CS,72/day,"Attended APR 1-DEC 15 ALL 0530-2200, DEC 16-MAR 31 ALL 0500-2200",17791,92195,2,"17/35 10000x150,   13/31 8497x100","Asphalt,Asphalt","17/35 HIRL, 13/31 MIRL","CTAF, UNI, ASOS, ILS, DME/GPS/VOR/DME, FSS","BlackCanyonGunnisonNatlMont,RidgewayLake",VOR check point west of segmented circle. Preferred take off Rys 31 & 35 and land Rys 13 & 17,247670.78963,4266247.09499,38.50887,-107.89383
POINT (-108.56326000408396 38.238800001229066),50,Hopkins Field,AIB,5936,Intermediate,Nucla,54935,Montrose,085,5,9,N,Nucla,SH97,GA,32/week,Attended ALL ALL 8A-5P,1672,0,2,"5/23 4600x75, 11/29 4000x80","Asphalt,Turf",5/23 MIRL,"CTAF, UNI, FSS, NDB","Utah,Uncompahgre National Forest","Unicom answered by police dispatch, available 24 hours",188125.05135,4238317.66585,38.2388,-108.56326
POINT (-103.58106000146019 40.2638699996385),51,Brush Municipal Airport,7V5,4280,Minor,Brush,09555,Morgan,087,4,13,Y,Brush,I76/US34,GA,22/week,Attended irregularly,1124,0,1,07/25 4300x60,Asphalt,LIRL,"CTAF, UNI","BrushPrairiePondsWildlifeArea,BunkerHillCountyClub,AmateurRodeo","Glider activity, powerlines near airport",620654.84812,4458010.58204,40.26387,-103.58106
POINT (-103.80395000514272 40.33422999817371),52,Fort Morgan Municipal Airport,3V4,4567,Intermediate,Fort Morgan,27810,Morgan,087,4,13,Y,Fort Morgan,I76/SH52,GA,125/week,Attended M-Sat 8A-5P,6500,0,3,"14/32 5050x60, 17/35 4500x30, 7/25 2300x100","Concrete,Dirt/Turf,Turf","14/32 MIRL, 17/35-none, 7/25 none","CTAF, UNI","CityPark,GlennMillerMuseum,swimming",AgriculturalOperations,601596.17443,4465540.95321,40.33423,-103.80395
POINT (-104.63211999753668 40.43561999795446),72,Greeley/Weld County Airport,GXY,4697,Major,Greeley,32155,Weld,123,4,3,Y,Greeley,SH263,GA,370/day,Attended 6A-9P,143000,5,2,"9/27 5800x100,   16/34 10000x100","Asphalt,Asphaltl","9/27 MIRL, 16/34 MIRL","CTAF, UNI, AWOS, ILS/VOR/GPS-A/NDB/GPS","CentennialPioneerVillage,GreeleyIndependenceStampedeRodeo","Helicopter,Military,Agricultural,DeerOnAirport",531201.70479,4476173.57123,40.43562,-104.63212
POINT (-105.0479699959083 40.01022000410732),73,Erie Municipal Airport,EIK,5108,Intermediate,Erie,24950,Weld,123,4,13,Y,Erie,I25/SH7,"RLVR, GA",197/day,"Attended Apr-Sep ALL 0800-1800, Oct-Mar ALL 0800-1700",72000,0,2,"15/33 4700x60,   9/27 3280x50","Concrete,Asphalt",15/33 LIRL,"CTAF, UNI, VOR, DME/GPS-A","Denver,Boulder,Longmont","ResidentialAirpark,BannerTowing",495905.90565,4428892.64154,40.01022,-105.04797
POINT (-102.71298999849458 40.104149996990124),74,Yuma Municipal Airport,2V6,4136,Intermediate,Yuma,86750,Yuma,125,4,6,N,Yuma,US34/SH59,GA,83/week,Attended Mon-Sat Daylight Hrs,4320,0,2,"16/34 4200x75,   12/30 3240x60","Concrete,Gravel",16/34 MIRL,"CTAF, UNI, VOR",Indian Hills Golf Course,AgriculturalOperations,694930.48386,4441823.80133,40.10415,-102.71299
POINT (-102.24095999811676 40.100319999468894),75,Wray Municipal Airport,2V5,3667,Intermediate,Wray,86310,Yuma,125,4,6,N,Wray,US385,GA,40/day,"Attended 8A-5P M-F, Sat-Sun 8A-Noon",14600,0,1,14/32 5040x70,Asphalt,LIRL,"CTAF, UNI, FSS, GPS","BeecherIslandBattleground,WrayMuseum,WrayCntr",Phone located outside of terminal,735181.46684,4442540.77205,40.10032,-102.24096
POINT (-103.5094300054079 38.04972000197278),76,La Junta Municipal Airport,LHX,4238,Intermediate,La Junta,42110,Otero,089,2,7,Y,LaJunta,SH109,GA,132/week,"Attended ALL M-F, 0800-1700, ALL SAT-SUN 0700-1600",6900,0,3,"12/30 5800x60,   8/26 6852x175,   H1 145x145","Asphalt,Asphalt,Asphalt",8/26 MIRL,"CTAF, UNI, NDB/GPS","OldBent'sFort,KoshareIndianMuseum",Alternate contact Edward Jaure (FBO) 719-384-8407,630783.23848,4212380.23179,38.04972,-103.50943
POINT (-103.09355000349092 40.24443000169312),77,Gebauer Airport,5V6,4509,Minor,Akron,00925,Washington,121,4,6,N,Akron,US34/SH63,GA,20/year,Unattended,20,0,2,8/26 3000x70 11/29 2150x70,"Turf/Gravel,Turf/Gravel",None,"CTAF, UNI",Akron,"RW 8/26 & 11/29 not maintained, soft when wet.",662157.2793,4456630.39382,40.24443,-103.09355
POINT (-102.31546000421534 40.97083000014714),68,Julesburg Municipal Airport,7V8,3520,Minor,Julesburg,39965,Sedgwick,115,4,6,Y,Julesburg,US385,GA,21/month,Unattended,250,0,1,13/31 3700x60,Asphalt,MIRL,"CTAF, UNI, VOR","Depoorter Lane,Lion's Park,Jumbo Reservoir",RY 13 has a 284' displaced threshold,725885.17436,4538990.00399,40.97083,-102.31546
POINT (-103.22203000479188 40.17562999804408),69,Colorado Plains Regional Airport,AKO,4714,Intermediate,Akron,00925,Washington,121,4,6,N,Akron,US34/SH63,GA,56/day,Attended 8A-5P,24280,88,1,11/29 7000x100,Asphalt,MIRL,"CTAF, UNI, VORTAC",Washington County Golf Course,Apr-Oct ExtensiveCropSpraying,651381.5704,4448766.27623,40.17563,-103.22203
POINT (-104.30830000062714 38.75776999861983),78,Bullseye Airport,CO90,6036,Unknown,Ellicott,24235,El Paso,041,2,14,N,Ellicott,SH94,Military,unavailable,Attended sunrise-sunset,0,0,1,17/35 3500x75,Asphalt,Unknown,Unknown,Not applicable,Not applicable,560099.52005,4290123.73215,38.75777,-104.3083
POINT (-104.75650000378991 38.67832999684796),79,Butts AAF Airport,FCS,5838,Unknown,Fort Carson,27370,El Paso,041,2,14,Y,,I25/SH115,Military,unavailable,Attended Mon-Fri 1P-5P,0,0,1,13/31 4574x75,Asphalt,LIRL,Unknown,Not applicable,Not applicable,521180.24233,4281109.63035,38.67833,-104.7565
POINT (-104.81302999457586 38.969719998964514),80,USAF Academy Airstrip Airport,AFF,6572,Unavailable,Colorado Springs,16000,El Paso,041,2,1,Y,,I25,Military,Unavailable,Attended sunrise/sunset,0,1,4,"8/26 2153x75, 16C/34C 4500x75, 16L/34R 3500x75, 16R/34L 4500x40",Asphalt,Unknown,Unknown,Not applicable,Not applicable,516196.96453,4313433.00811,38.96972,-104.81303
POINT (-106.1686299987759 38.09721999673537),65,Saguache Municipal Airport,04V,7826,Minor,Saguache,67005,Saguache,109,5,8,Y,Saguache,SH114/US285,GA,100/year,Unattended,100,0,1,10/28 7745x55,Gravel,None,"CTAF, FSS","FentonPottery,SaguacheCountyMuseum",AgriculturalOperations,397531.2959,4217246.68236,38.09722,-106.16863
POINT (-104.60885000553439 40.33054000172141),70,Easton/Valley View Airport,11V,4820,Minor,Greeley,32155,Weld,123,4,13,Y,"LaSalle,Evans",CR48/CR49,GA,56/week,Attended Daylight Hrs daily,2910,0,2,"8/26 4000x25,  14/32 2150x20","Turf/Dirt, Turf/Dirt",None,"CTAF, FSS","Greeley,Denver","RCModelAircraft,Agricultural,BannerTowing,Helicopter",533226.94247,4464518.37981,40.33054,-104.60885
POINT (-106.0383599988682 37.784719999292975),66,Leach Field Airport,1V8,7598,Intermediate,Center,12855,Saguache,109,5,8,N,Center,SH112/CR53,GA,33/week,Unattended,1700,0,1,12/30 6965x48,Asphalt,LIRL,"CTAF, UNI, FSS",SandDunes,AgiculturalOperations,408567.6469,4182437.34808,37.78472,-106.03836
POINT (-104.75803000271017 39.709989998803245),81,Buckley Air Force Base,BKF,5580,Unknown,Aurora,04000,Arapahoe,005,6,2,Y,,SH30,Military,438/day,"Attended ALL Tues-Sat 6:30A-12:30P, Sun-Mon 8A-4P",160000,0,1,14/32 11000x150,Asphalt,HIRL,Unknown,Not applicable,Not applicable,520741.61023,4395597.73513,39.70999,-104.75803
POINT (-107.90848000368932 37.95376000107739),67,Telluride Regional Airport,TEX,9078,Major,Telluride,76795,San Miguel,113,5,9,N,Telluride,SH145,CS,78/day,Attended 7A-Sunset +30 Minutes,26709,6740,1,9/27 6870x100,Asphalt,MIRL,"CTAF, UNI, RCO, LOC, DME/VOR,DME/GPS-A/GPS","TellurideSki,rafting,HorsebackRiding,fish,bike,goldpanning,4Wheeling,sleighrides",WildlifeOnAirport,244455.99732,4204675.62887,37.95376,-107.90848
